,Site,Species,Sample.number,Sampling,Alternate.number,DBH,Height,Date,Predawn.mean,Midday.mean,Bulk.wet,Bulk.dry,Bulk.change,Leaf.wet,Leaf.dry,Leaf.change,Stem.wet,Stem.dry,Stem.change,Leaf.LFM,Stem.LFM,Bulk.LFM,WPdiff
1,ST,ADEFAS,10715,21-Oct,NA,NA,NA,20211009,-3.1,-4.38,15.5285,9.8014,5.7271,NA,NA,NA,NA,NA,NA,NA,NA,0.584314486,-1.28
2,ST,ADEFAS,10717,21-Oct,NA,NA,NA,20211009,-1.62,-3.7,9.6396,5.768,3.8716,13.8928,7.9146,5.9782,5.6077,3.6938,1.9139,0.755338236,0.518138502,0.671220527,-2.08
3,ST,ADEFAS,10720,21-Oct,NA,NA,NA,20211009,-1.7,-2.98,5.0025,3.0777,1.9248,8.1862,4.8126,3.3736,4.5373,3.1406,1.3967,0.700993226,0.444723938,0.625402086,-1.28
4,ST,ADEFAS,10721,21-Oct,NA,NA,NA,20211009,-2.04,-3.25,5.2818,3.0687,2.2131,6.9234,3.8388,3.0846,4.4573,2.8494,1.6079,0.803532354,0.564294237,0.721184867,-1.21
5,GH,ADEFAS,10729,21-Oct,NA,NA,NA,20211010,-1.8,-5.43,25.632,16.2308,9.4012,NA,NA,NA,NA,NA,NA,NA,NA,0.579219755,-3.63
6,GH,ADEFAS,10730,21-Oct,NA,NA,NA,20211010,-2.35,-4.95,29.214,17.7918,11.4222,NA,NA,NA,NA,NA,NA,NA,NA,0.641992379,-2.6
7,ST,ADEFAS,10993,21-Oct,NA,NA,NA,20211009,-3.37,-4.53,8.372,5.04,3.332,NA,NA,NA,NA,NA,NA,NA,NA,0.661111111,-1.16
8,ST,ADEFAS,10996,21-Oct,NA,NA,NA,20211009,-2.48,-3.45,7.2052,4.3102,2.895,NA,NA,NA,NA,NA,NA,NA,NA,0.671662568,-0.97
9,BOH,ARBMEN,10974,21-Oct,NA,38,NA,20211009,-0.65,-2,29.5796,12.98338,16.59622,26.3736,11.6215,14.7521,3.206,1.36188,1.84412,1.269380028,1.354098746,1.278266522,-1.35
10,BOH,ARBMEN,10975,21-Oct,NA,58.1,NA,20211010,-1.64,-2.88,26.7073,12.45671,14.25059,23.9963,11.1946,12.8017,2.711,1.26211,1.44889,1.143560288,1.14799027,1.144009132,-1.24
11,BOH,ARBMEN,10976,21-Oct,NA,53.9,NA,20211010,-2.05,-2.83,35.1854,16.3822,18.8032,32.6404,15.231,17.4094,2.545,1.1512,1.3938,1.143024096,1.210736623,1.147782349,-0.78
12,BOH,ARBMEN,10977,21-Oct,NA,63,NA,20211010,-0.68,-1.98,43.8222,18.2561,25.5661,37.3012,15.3715,21.9297,6.521,2.8846,3.6364,1.426646716,1.26062539,1.400414108,-1.3
13,DCP,ARBMEN,10985,21-Oct,NA,17,NA,20211009,-1.18,-2.63,42.258,18.6608,23.5972,33.533,14.6971,18.8359,8.725,3.9637,4.7613,1.281606575,1.201226127,1.264533139,-1.45
14,WTH,ARBMEN,10986,21-Oct,NA,30.1,NA,20211009,-4.98,-5.55,18.8,9.41095,9.38905,15.427,7.7491,7.6779,3.373,1.66185,1.71115,0.990811836,1.029665734,0.997672924,-0.57
15,RPH,BACPIL,12001,21-Oct,NA,NA,200,20201010,-1.8,-2.66,20.8525,9.4953,11.3572,NA,NA,NA,NA,NA,NA,NA,NA,1.196086485,-0.86
16,BG,BACPIL,12002,21-Oct,NA,NA,120,20201010,-1.38,-2.3,19.95527,8.89977,11.0555,NA,NA,NA,NA,NA,NA,NA,NA,1.242223114,-0.92
17,GH,BACPIL,12003,21-Oct,NA,NA,NA,20201010,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
