"","Site","Species","Sample.number","Alternate.number","DBH","Height","Date","Predawn.mean","Midday.mean","Leaf.wet","Leaf.dry","Leaf.change","Stem.wet","Stem.dry","Stem.change","Bulk.wet","Bulk.dry","Bulk.change","Leaf.LFM","Stem.LFM","Bulk.LFM","WPdiff"
"1","ST","ADEFAS",10715,NA,NA,NA,20211009,-3.1,-4.38,NA,NA,NA,NA,NA,NA,15.5285,9.8014,5.7271,NA,NA,0.584314485685718,-1.28
"2","ST","ADEFAS",10717,NA,NA,NA,20211009,-1.62,-3.7,13.8928,7.9146,5.9782,5.6077,3.6938,1.9139,9.6396,5.768,3.8716,0.755338235665732,0.518138502355298,0.67122052704577,-2.08
"3","ST","ADEFAS",10720,NA,NA,NA,20211009,-1.7,-2.98,8.1862,4.8126,3.3736,4.5373,3.1406,1.3967,5.0025,3.0777,1.9248,0.700993226114782,0.444723938101,0.625402085973292,-1.28
"4","ST","ADEFAS",10721,NA,NA,NA,20211009,-2.04,-3.25,6.9234,3.8388,3.0846,4.4573,2.8494,1.6079,5.2818,3.0687,2.2131,0.803532353860581,0.564294237383309,0.72118486655587,-1.21
"5","GH","ADEFAS",10729,NA,NA,NA,20211010,-1.8,-5.43,NA,NA,NA,NA,NA,NA,25.632,16.2308,9.4012,NA,NA,0.57921975503364,-3.63
"6","GH","ADEFAS",10730,NA,NA,NA,20211010,-2.35,-4.95,NA,NA,NA,NA,NA,NA,29.214,17.7918,11.4222,NA,NA,0.641992378511449,-2.6
"7","ST","ADEFAS",10993,NA,NA,NA,20211009,-3.37,-4.53,NA,NA,NA,NA,NA,NA,8.372,5.04,3.332,NA,NA,0.661111111111111,-1.16
"8","ST","ADEFAS",10996,NA,NA,NA,20211009,-2.48,-3.45,NA,NA,NA,NA,NA,NA,7.2052,4.3102,2.895,NA,NA,0.67166256786228,-0.97
"9","BOH","ARBMEN",10974,NA,38,NA,20211009,-0.65,-2,26.3736,11.6215,14.7521,3.206,1.36188,1.84412,29.5796,12.98338,16.59622,1.26938002839565,1.35409874585132,1.27826652227694,-1.35
"10","BOH","ARBMEN",10975,NA,58.1,NA,20211010,-1.64,-2.88,23.9963,11.1946,12.8017,2.711,1.26211,1.44889,26.7073,12.45671,14.25059,1.143560287996,1.1479902702617,1.14400913242742,-1.24
"11","BOH","ARBMEN",10976,NA,53.9,NA,20211010,-2.05,-2.83,32.6404,15.231,17.4094,2.545,1.1512,1.3938,35.1854,16.3822,18.8032,1.14302409559451,1.21073662265462,1.14778234913504,-0.78
"12","BOH","ARBMEN",10977,NA,63,NA,20211010,-0.68,-1.98,37.3012,15.3715,21.9297,6.521,2.8846,3.6364,43.8222,18.2561,25.5661,1.42664671632567,1.26062539000208,1.40041410816111,-1.3
