"","Species","date","mwp","lfm","study","Sp.Site"
"1","ADEFAS","21-Oct",-4.38,0.584314486,"Pepperwood","ADEFAS_Pepperwood"
"2","ADEFAS","21-Oct",-3.7,0.671220527,"Pepperwood","ADEFAS_Pepperwood"
"3","ADEFAS","21-Oct",-2.98,0.625402086,"Pepperwood","ADEFAS_Pepperwood"
"4","ADEFAS","21-Oct",-3.25,0.721184867,"Pepperwood","ADEFAS_Pepperwood"
"5","ADEFAS","21-Oct",-5.43,0.579219755,"Pepperwood","ADEFAS_Pepperwood"
"6","ADEFAS","21-Oct",-4.95,0.641992379,"Pepperwood","ADEFAS_Pepperwood"
"7","ADEFAS","21-Oct",-4.53,0.661111111,"Pepperwood","ADEFAS_Pepperwood"
"8","ADEFAS","21-Oct",-3.45,0.671662568,"Pepperwood","ADEFAS_Pepperwood"
"9","ARBMEN","21-Oct",-2,1.278266522,"Pepperwood","ARBMEN_Pepperwood"
"10","ARBMEN","21-Oct",-2.88,1.144009132,"Pepperwood","ARBMEN_Pepperwood"
"11","ARBMEN","21-Oct",-2.83,1.147782349,"Pepperwood","ARBMEN_Pepperwood"
"12","ARBMEN","21-Oct",-1.98,1.400414108,"Pepperwood","ARBMEN_Pepperwood"
"13","ARBMEN","21-Oct",-2.63,1.264533139,"Pepperwood","ARBMEN_Pepperwood"
"14","ARBMEN","21-Oct",-5.55,0.997672924,"Pepperwood","ARBMEN_Pepperwood"
"19","CEACUN","21-Oct",-7,0.564123163,"Pepperwood","CEACUN_Pepperwood"
"20","CEACUN","21-Oct",-6.1,0.650413253,"Pepperwood","CEACUN_Pepperwood"
"24","CEAPAR","21-Oct",-4.3,0.680411238,"Pepperwood","CEAPAR_Pepperwood"
"25","CEACUN","21-Oct",-6.1,0.620528587,"Pepperwood","CEACUN_Pepperwood"
"26","CEAPAR","21-Oct",-4.23,0.726448975,"Pepperwood","CEAPAR_Pepperwood"
"27","CEAPAR","21-Oct",-3.28,0.843124292,"Pepperwood","CEAPAR_Pepperwood"
