x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
1,ADEFAS,2021-10-09,-4.38,0.584314486,Pepperwood,both,ADEFAS_Pepperwood,1.7114071685020658,PwD
2,ADEFAS,2021-10-09,-3.7,0.671220527,Pepperwood,both,ADEFAS_Pepperwood,1.4898233289578762,PwD
3,ADEFAS,2021-10-09,-2.98,0.625402086,Pepperwood,both,ADEFAS_Pepperwood,1.5989713216274752,PwD
4,ADEFAS,2021-10-09,-3.25,0.721184867,Pepperwood,both,ADEFAS_Pepperwood,1.3866070209706718,PwD
5,ADEFAS,2021-10-10,-5.43,0.579219755,Pepperwood,both,ADEFAS_Pepperwood,1.7264604519574787,PwD
6,ADEFAS,2021-10-10,-4.95,0.641992379,Pepperwood,both,ADEFAS_Pepperwood,1.5576508891860228,PwD
7,ADEFAS,2021-10-09,-4.53,0.661111111,Pepperwood,both,ADEFAS_Pepperwood,1.5126050422710262,PwD
8,ADEFAS,2021-10-09,-3.45,0.671662568,Pepperwood,both,ADEFAS_Pepperwood,1.4888428321644984,PwD
9,ARBMEN,2021-10-09,-2,1.278266522,Pepperwood,both,ARBMEN_Pepperwood,0.7823094658188975,PwD
10,ARBMEN,2021-10-10,-2.88,1.144009132,Pepperwood,both,ARBMEN_Pepperwood,0.8741188964565013,PwD
11,ARBMEN,2021-10-10,-2.83,1.147782349,Pepperwood,both,ARBMEN_Pepperwood,0.8712453200480433,PwD
12,ARBMEN,2021-10-10,-1.98,1.400414108,Pepperwood,both,ARBMEN_Pepperwood,0.7140744971700899,PwD
13,ARBMEN,2021-10-09,-2.63,1.264533139,Pepperwood,both,ARBMEN_Pepperwood,0.7908056888021184,PwD
14,ARBMEN,2021-10-09,-5.55,0.997672924,Pepperwood,both,ARBMEN_Pepperwood,1.002332503913878,PwD
19,CEACUN,2021-10-10,-7,0.564123163,Pepperwood,both,CEACUN_Pepperwood,1.7726625417790194,PwD
20,CEACUN,2021-10-10,-6.1,0.650413253,Pepperwood,both,CEACUN_Pepperwood,1.537484046316012,PwD
24,CEAPAR,2021-10-10,-4.3,0.680411238,Pepperwood,both,CEAPAR_Pepperwood,1.4696994172809354,PwD
25,CEACUN,2021-10-10,-6.1,0.620528587,Pepperwood,both,CEACUN_Pepperwood,1.6115293009055196,PwD
26,CEAPAR,2021-10-10,-4.23,0.726448975,Pepperwood,both,CEAPAR_Pepperwood,1.3765591726521467,PwD
27,CEAPAR,2021-10-10,-3.28,0.843124292,Pepperwood,both,CEAPAR_Pepperwood,1.1860647469044812,PwD
28,CEAPAR,2021-10-10,-3.9,0.678806528,Pepperwood,both,CEAPAR_Pepperwood,1.4731738113160868,PwD
29,CEAPAR,2021-10-10,-3.57,0.827752707,Pepperwood,both,CEAPAR_Pepperwood,1.2080902805190101,PwD
30,CEAPAR,2021-10-10,-3.43,0.74622315,Pepperwood,both,CEAPAR_Pepperwood,1.3400817168430115,PwD
31,HETARB,2021-10-09,-3.53,0.861461488,Pepperwood,both,HETARB_Pepperwood,1.1608179981691764,PwD
32,HETARB,2021-10-09,-3.73,0.920271816,Pepperwood,both,HETARB_Pepperwood,1.0866354729264034,PwD
33,HETARB,2021-10-09,-2.6,0.920118454,Pepperwood,both,HETARB_Pepperwood,1.0868165893779584,PwD
34,HETARB,2021-10-09,-2.38,0.969629886,Pepperwood,both,HETARB_Pepperwood,1.0313213468752345,PwD
35,HETARB,2021-10-09,-3.49,0.859009946,Pepperwood,both,HETARB_Pepperwood,1.164130874917716,PwD
36,HETARB,2021-10-09,-3.08,0.89573607,Pepperwood,both,HETARB_Pepperwood,1.1164002807210833,PwD
37,PSEMEN,2021-10-09,-2.3,1.307662577,Pepperwood,both,PSEMEN_Pepperwood,0.7647232685163857,PwD
38,PSEMEN,2021-10-10,-2.23,1.215720367,Pepperwood,both,PSEMEN_Pepperwood,0.8225575775025245,PwD
39,PSEMEN,2021-10-10,-2.4,1.189199656,Pepperwood,both,PSEMEN_Pepperwood,0.8409016895982016,PwD
40,PSEMEN,2021-10-10,-2.3,1.187939718,Pepperwood,both,PSEMEN_Pepperwood,0.841793556396605,PwD
41,PSEMEN,2021-10-09,-2.75,1.264121005,Pepperwood,both,PSEMEN_Pepperwood,0.7910635105695439,PwD
42,PSEMEN,2021-10-09,-2.48,1.123719849,Pepperwood,both,PSEMEN_Pepperwood,0.8899015185056146,PwD
43,QUEAGR,2020-10-10,-3.6,0.883302812,Pepperwood,both,QUEAGR_Pepperwood,1.1321145890340492,PwD
44,QUEAGR,2021-10-09,-3.43,0.681923508,Pepperwood,both,QUEAGR_Pepperwood,1.4664401333411723,PwD
45,QUEAGR,2021-10-09,-3.03,0.795505733,Pepperwood,both,QUEAGR_Pepperwood,1.2570619651335686,PwD
46,QUEAGR,2021-10-09,-1.78,0.860920709,Pepperwood,both,QUEAGR_Pepperwood,1.1615471547450023,PwD
47,QUEAGR,2021-10-09,-1.65,0.898304996,Pepperwood,both,QUEAGR_Pepperwood,1.1132076571463263,PwD
