Species,Date,WP_md_psi,WP_md_MPa,LFM_%
ADFA,8/17/15,-620,-4.27,63.42
ADFA,8/17/15,-620,-4.27,62.87
ADFA,8/17/15,-780,-5.38,73.52
ADFA,8/17/15,-780,-5.38,50.21
ADFA,8/17/15,-800,-5.52,62.14
CEBE,8/17/15,-720,-4.96,60.82
CEBE,8/17/15,-740,-5.1,63.51
CESP,8/17/15,-700,-4.83,76.02
CESP,8/17/15,-710,-4.9,77.29
CESP,8/17/15,-720,-4.96,81.72
HEAR,8/17/15,-480,-3.31,88.76
HEAR,8/17/15,-500,-3.45,87.2
HEAR,8/17/15,-560,-3.86,89.75
HEAR,8/17/15,-560,-3.86,90.41
MALA,8/17/15,-260,-1.79,119.6
MALA,8/17/15,-270,-1.86,118.63
MALA,8/17/15,-280,-1.93,122.93
QUAG,8/17/15,-380,-2.62,74.51
QUAG,8/17/15,-400,-2.76,75.57
QUAG,8/17/15,-425,-2.93,75.47
QUBE,8/17/15,-560,-3.86,67.24
QUBE,8/17/15,-580,-4,63.12
QUBE,8/17/15,-620,-4.27,68.06
QUBE,8/17/15,-620,-4.27,65.82
ADFA,9/16/15,-500,-3.45,58.11
ADFA,9/16/15,-630,-4.34,55.4
ADFA,9/16/15,-650,-4.48,54.53
ADFA,9/16/15,-700,-4.83,57.25
CEBE,9/16/15,-250,-1.72,65.15
CEBE,9/16/15,-300,-2.07,66.47
CEBE,9/16/15,-400,-2.76,57.33
CEBE,9/16/15,-440,-3.03,63.79
CEBE,9/16/15,-480,-3.31,57.44
CESP,9/16/15,-330,-2.28,67.53
CESP,9/16/15,-390,-2.69,72.94
CESP,9/16/15,-400,-2.76,73.26
CESP,9/16/15,-435,-3,71.2
CESP,9/16/15,-740,-5.1,69.73
ERFA,9/16/15,-320,-2.21,62.02
ERFA,9/16/15,-420,-2.9,60.6
ERFA,9/16/15,-430,-2.96,65.41
ERFA,9/16/15,-480,-3.31,60.45
ERFA,9/16/15,-480,-3.31,64.15
HEAR,9/16/15,-400,-2.76,73.72
HEAR,9/16/15,-420,-2.9,80.57
HEAR,9/16/15,-420,-2.9,76.02
HEAR,9/16/15,-430,-2.96,76.7
HEAR,9/16/15,-540,-3.72,73.67
QUAG,9/16/15,-365,-2.52,69.76
QUAG,9/16/15,-410,-2.83,65.05
QUAG,9/16/15,-410,-2.83,74.21
QUAG,9/16/15,-450,-3.1,73.54
QUAG,9/16/15,-700,-4.83,70.5
QUBE,9/16/15,-480,-3.31,65.31
QUBE,9/16/15,-510,-3.52,58.91
QUBE,9/16/15,-515,-3.55,63.33
QUBE,9/16/15,-520,-3.59,58.14
QUBE,9/16/15,-570,-3.93,61.71
SALE,9/16/15,-340,-2.34,80.92
SALE,9/16/15,-370,-2.55,102.64
SALE,9/16/15,-385,-2.65,91.5
SALE,9/16/15,-395,-2.72,93.95
SAME,9/16/15,-270,-1.86,122.33
SAME,9/16/15,-270,-1.86,107.11
SAME,9/16/15,-300,-2.07,104.04
SAME,9/16/15,-320,-2.21,121.85
SAME,9/16/15,-330,-2.28,113.09
ADFA,10/7/15,-860,-5.93,59.85
ADFA,10/7/15,-880,-6.07,57.81
ADFA,10/7/15,-930,-6.41,52.53
ADFA,10/7/15,-960,-6.62,56.71
ADFA,10/7/15,-990,-6.83,53.45
ARGL,10/7/15,-520,-3.59,76.64
ARGL,10/7/15,-550,-3.79,75.78
ARGL,10/7/15,-600,-4.14,70.63
ARGL,10/7/15,-760,-5.24,66.4
ARGL,10/7/15,-820,-5.65,62.75
CEBE,10/7/15,-580,-4,61.34
CEBE,10/7/15,-690,-4.76,55.42
CEBE,10/7/15,-750,-5.17,51.07
CEBE,10/7/15,-800,-5.52,51.21
CESP,10/7/15,-530,-3.65,65.11
CESP,10/7/15,-560,-3.86,73.75
CESP,10/7/15,-680,-4.69,70.53
CESP,10/7/15,-700,-4.83,62.78
CESP,10/7/15,-710,-4.9,61.98
ERFA,10/7/15,-500,-3.45,69.61
ERFA,10/7/15,-600,-4.14,53.8
ERFA,10/7/15,-700,-4.83,54.78
ERFA,10/7/15,-700,-4.83,61.92
ERFA,10/7/15,-800,-5.52,46.74
HEAR,10/7/15,-520,-3.59,78.1
HEAR,10/7/15,-520,-3.59,77.96
HEAR,10/7/15,-560,-3.86,74.92
HEAR,10/7/15,-660,-4.55,78.72
HEAR,10/7/15,-660,-4.55,68.19
MALA,10/7/15,-280,-1.93,107.24
MALA,10/7/15,-310,-2.14,103.61
MALA,10/7/15,-325,-2.24,178.97
MALA,10/7/15,-380,-2.62,96.2
MALA,10/7/15,-440,-3.03,93.98
QUAG,10/7/15,-470,-3.24,70.85
QUAG,10/7/15,-540,-3.72,68.94
QUAG,10/7/15,-550,-3.79,66.77
QUAG,10/7/15,-580,-4,68.76
QUAG,10/7/15,-600,-4.14,69.51
QUBE,10/7/15,-700,-4.83,63.05
QUBE,10/7/15,-705,-4.86,62.06
QUBE,10/7/15,-720,-4.96,47.68
QUBE,10/7/15,-720,-4.96,53.96
QUBE,10/7/15,-750,-5.17,62.24
SALE,10/7/15,-690,-4.76,69.18
