Scientific Name,Common Name,Family,Max Rooting Depth (m),Max Rooting Depth (feet),CA Phreatophytes,Reference,Location,Biome,Soil Type,Growth form,Method,Life span,Lat,Long,USDA soil texture,Native,GW Use
Abies balsamea,balsam fir,,0.56,1.84,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.61,2.00,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" loamy sand, 6‐24"" loamy",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.69,2.26,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" sandy loam, 6‐24"" loamy",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.69,2.26,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.71,2.33,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" loamy sand, 6‐24"" loamy",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.84,2.76,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.89,2.92,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" loamy sand, 6‐24"" loamy",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.94,3.08,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.97,3.18,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,0.97,3.18,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.02,3.35,,"Schultz, 1969","Ontario, CA",Boreal forest,"0‐6""  silt loam, 6‐24"" loam",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.07,3.51,,"Schultz, 1969","Ontario, CA",Boreal forest,"0‐6""  silt loam, 6‐24"" sand",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.32,4.33,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.35,4.43,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  sandy loam, 6‐24""",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.4,4.59,,"Schultz, 1969","Ontario, CA",Boreal forest,"0‐6""  silty clayloam, 6‐24"" silt",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.5,4.92,,"Schultz, 1969",Michigan,Boreal forest,"0‐6""  loam, 6‐24"" sandy loam",tree,excavation,,,,,,
Abies balsamea,balsam fir,,2.41,7.91,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" sand, 6‐24"" sand",tree,excavation,,,,,,
Abies balsamea,balsam fir,,3,9.84,,"Schultz, 1969",Michigan,Boreal forest,"0‐6"" loamy sand, 6‐24"" loamy",tree,excavation,,,,,,
Abies balsamea,balsam fir,,1.3,4.27,,"Strong & La Roi, 1983a,","SE of Lesser Slave Lake,",boreal mixed forest,"eolian sand (Eutric Brunisol,",tree,trenchwall,,,,,,
Abies balsamea,balsam fir,,1.3,4.27,,"Strong & La Roi, 1983a,","SE of Lesser Slave Lake,",boreal mixed forest,Gray Luvisol,tree,trenchwall,,,,,,
Abies concolor,White Fir,,,,,,,,,,,,,,,1,
Abies faxoniana,Farges' fir,,1.4,4.59,,"Xu et al., 2011",western Sichuan,subalpine coniferous,,"tree, overstory",20cm soilblocks to,,,,,,
Abies firma,momi fir,,3.3,10.83,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,sand loam to humus loam,tree,excavation,,,,,,
Abies homolepis,Nikko fir,,1.8,5.91,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Abies mariesii,Maries' fir,,1.4,4.59,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,sandy loam,tree,excavation,,,,,,
Abies sachalinensis,Sakhalin fir,,1.7,5.58,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,loam,tree,excavation,,,,,,
Abies veitchii,Veitch's fir,,0.6,1.97,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,shallow sandy loam on volcanic,tree,excavation,,,,,,
Abies veitchii,Veitch's fir,,1.2,3.94,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,shallow sandy loam on volcanic,tree,excavation,,,,,,
Abies veitchii,Veitch's fir,,1.5,4.92,,"Karizumi, 1979","Nine‐state, Hokkaido,",temperate broadleaf,shallow sandy loam on volcanic,tree,excavation,,,,,,
Abronia pogonantha,,Nyctaginaceae,0.18,0.59,,Wilson 1972,"Mojave Desert, California, USA",temperate desert,fine-textured soil,forb,,annual,35.011,-115.4734,Lo,,
Abronia villosa,,Nyctaginaceae,0.3,0.98,,Forseth et al. 1984,"Death Valley, California, USA",temperate desert,sand,prostrate forb,,annual,36.5323,-116.9325,Sa,,
Abronia villosa,,Nyctaginaceae,0.21,0.69,,Wilson 1972,"S California, USA",subtropical desert,sand,prostrate forb,,perennial,,,Sa,,
