"","spp","Species","unique_id","tissue_age","date","year","location","lfm","time","water_potential"
"1","ABCO","A. concolor","ABCO_N_1_1.1","new",2021-04-24,2021,"CZO",136.7987918,"predawn",-0.775
"2","ABCO","A. concolor","ABCO_N_1_1.1","new",2021-04-24,2021,"CZO",136.7987918,"midday",-0.765
"3","ABCO","A. concolor","ABCO_N_1_1.2","new",2021-04-24,2021,"CZO",140.4427031,"predawn",-0.74
"4","ABCO","A. concolor","ABCO_N_1_1.2","new",2021-04-24,2021,"CZO",140.4427031,"midday",-0.97
"5","ABCO","A. concolor","ABCO_N_1_1.3","new",2021-04-24,2021,"CZO",124.6264749,"predawn",-0.635
"6","ABCO","A. concolor","ABCO_N_1_1.3","new",2021-04-24,2021,"CZO",124.6264749,"midday",-1.125
"7","ABCO","A. concolor","ABCO_N_1_1.4","new",2021-04-24,2021,"CZO",124.2028867,"predawn",-0.665
"8","ABCO","A. concolor","ABCO_N_1_1.4","new",2021-04-24,2021,"CZO",124.2028867,"midday",-0.935
"9","ABCO","A. concolor","ABCO_N_1_1.5","new",2021-04-24,2021,"CZO",131.0974719,"predawn",-0.625
"10","ABCO","A. concolor","ABCO_N_1_1.5","new",2021-04-24,2021,"CZO",131.0974719,"midday",-1.115
"11","ABCO","A. concolor","ABCO_N_1_1.6","new",2021-04-24,2021,"CZO",127.7849324,"predawn",-0.715
"12","ABCO","A. concolor","ABCO_N_1_1.6","new",2021-04-24,2021,"CZO",127.7849324,"midday",-0.89
"13","ABCO","A. concolor","ABCO_N_2_2.1","new",2021-04-24,2021,"CZO",136.6259488,"predawn",-0.93
"14","ABCO","A. concolor","ABCO_N_2_2.1","new",2021-04-24,2021,"CZO",136.6259488,"midday",-1.545
"15","ABCO","A. concolor","ABCO_N_2_2.2","new",2021-04-24,2021,"CZO",133.7575195,"predawn",-0.7
"16","ABCO","A. concolor","ABCO_N_2_2.2","new",2021-04-24,2021,"CZO",133.7575195,"midday",-0.815
"17","ABCO","A. concolor","ABCO_N_2_2.3","new",2021-04-24,2021,"CZO",131.6718142,"predawn",-0.77
"18","ABCO","A. concolor","ABCO_N_2_2.3","new",2021-04-24,2021,"CZO",131.6718142,"midday",-1.57
"19","ABCO","A. concolor","ABCO_N_2_2.4","new",2021-04-24,2021,"CZO",118.928846,"predawn",-0.815
"20","ABCO","A. concolor","ABCO_N_2_2.4","new",2021-04-24,2021,"CZO",118.928846,"midday",-1.56
"21","ABCO","A. concolor","ABCO_N_2_2.5","new",2021-04-24,2021,"CZO",126.2829053,"predawn",-1.095
"22","ABCO","A. concolor","ABCO_N_2_2.5","new",2021-04-24,2021,"CZO",126.2829053,"midday",-1.48
"23","ABCO","A. concolor","ABCO_New_1_1","new",2020-08-04,2020,"CZO",189.9899179,"predawn",-0.58
"24","ABCO","A. concolor","ABCO_New_1_1","new",2020-08-04,2020,"CZO",189.9899179,"midday",-1.7
"25","ABCO","A. concolor","ABCO_New_1_1","new",2020-08-26,2020,"CZO",168.0235936,"predawn",-1.1435
"26","ABCO","A. concolor","ABCO_New_1_1","new",2020-08-26,2020,"CZO",168.0235936,"midday",-1.9385
"27","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-06-16,2021,"CZO",191.9749403,"predawn",-0.86
"28","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-06-16,2021,"CZO",191.9749403,"midday",-2.17
"29","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-07-30,2021,"CZO",190.8559853,"predawn",-0.9
"30","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-07-30,2021,"CZO",190.8559853,"midday",-2.05
"31","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-09-16,2021,"CZO",136.0741386,"predawn",-1.55
"32","ABCO","A. concolor","ABCO_new_1_1.1","new",2021-09-16,2021,"CZO",136.0741386,"midday",-1.86
"33","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-07-08,2021,"CZO",266.5707434,"predawn",-1.033333333
"34","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-07-08,2021,"CZO",266.5707434,"midday",-2.136666667
"35","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-08-19,2021,"CZO",161.8935469,"predawn",-1.6
"36","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-08-19,2021,"CZO",161.8935469,"midday",-2.045
"37","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-09-16,2021,"CZO",194.0756397,"predawn",-1.645
"38","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-09-16,2021,"CZO",194.0756397,"midday",-1.96
"39","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-10-16,2021,"CZO",221.149576,"predawn",-1.415
"40","ABCO","A. concolor","ABCO_new_1_1.2","new",2021-10-16,2021,"CZO",221.149576,"midday",-1.97
"41","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-05-15,2021,"CZO",121.9488833,"predawn",-0.43
"42","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-05-15,2021,"CZO",121.9488833,"midday",-0.795
"43","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-07-30,2021,"CZO",183.8530411,"predawn",-0.93
"44","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-07-30,2021,"CZO",183.8530411,"midday",-2.046666667
"45","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-08-19,2021,"CZO",152.3414655,"predawn",-1.235
"46","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-08-19,2021,"CZO",152.3414655,"midday",-2.005
"47","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-09-16,2021,"CZO",145.0229112,"predawn",-1.505
"48","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-09-16,2021,"CZO",145.0229112,"midday",-2.235
"49","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-10-16,2021,"CZO",128.5439901,"predawn",-1.365
"50","ABCO","A. concolor","ABCO_new_1_1.3","new",2021-10-16,2021,"CZO",128.5439901,"midday",-1.9
"51","ABCO","A. concolor","ABCO_new_1_1.4","new",2021-07-08,2021,"CZO",267.8534393,"predawn",-1.275
"52","ABCO","A. concolor","ABCO_new_1_1.4","new",2021-07-08,2021,"CZO",267.8534393,"midday",-2.27
"53","ABCO","A. concolor","ABCO_new_1_1.4","new",2021-10-16,2021,"CZO",130.7082925,"predawn",-1.07
"54","ABCO","A. concolor","ABCO_new_1_1.4","new",2021-10-16,2021,"CZO",130.7082925,"midday",-1.9
"55","ABCO","A. concolor","ABCO_new_1_1.5","new",2021-07-30,2021,"CZO",116.507718,"predawn",-1.353333333
"56","ABCO","A. concolor","ABCO_new_1_1.5","new",2021-07-30,2021,"CZO",116.507718,"midday",-2.275
"57","ABCO","A. concolor","ABCO_new_1_1.5","new",2021-08-19,2021,"CZO",133.5897057,"predawn",-1.645
"58","ABCO","A. concolor","ABCO_new_1_1.5","new",2021-08-19,2021,"CZO",133.5897057,"midday",-2.21
"59","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-05-15,2021,"CZO",117.0487395,"predawn",-0.75
"60","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-05-15,2021,"CZO",117.0487395,"midday",-1.515
"61","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-07-08,2021,"CZO",249.5819519,"predawn",-1.213333333
"62","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-07-08,2021,"CZO",249.5819519,"midday",-2.193333333
"63","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-07-30,2021,"CZO",147.7605512,"predawn",-1.69
"64","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-07-30,2021,"CZO",147.7605512,"midday",-2.16
"65","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-08-19,2021,"CZO",140.6290549,"predawn",-1.815
"66","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-08-19,2021,"CZO",140.6290549,"midday",-2.115
"67","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-09-16,2021,"CZO",158.148316,"predawn",-2.03
"68","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-09-16,2021,"CZO",158.148316,"midday",-2.195
"69","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-10-16,2021,"CZO",138.9745866,"predawn",-1.195
"70","ABCO","A. concolor","ABCO_new_1_1.6","new",2021-10-16,2021,"CZO",138.9745866,"midday",-1.825
"71","ABCO","A. concolor","ABCO_New_1_2","new",2020-08-04,2020,"CZO",191.0454938,"predawn",-0.705
"72","ABCO","A. concolor","ABCO_New_1_2","new",2020-08-04,2020,"CZO",191.0454938,"midday",-1.92
"73","ABCO","A. concolor","ABCO_New_1_2","new",2020-08-26,2020,"CZO",172.4758793,"predawn",-0.805
"74","ABCO","A. concolor","ABCO_New_1_2","new",2020-08-26,2020,"CZO",172.4758793,"midday",-2.3915
"75","ABCO","A. concolor","ABCO_New_1_2","new",2020-10-19,2020,"SEKI",161.9039524,"predawn",-1.996
"76","ABCO","A. concolor","ABCO_New_1_2","new",2020-10-19,2020,"SEKI",161.9039524,"midday",-2.0865
"77","ABCO","A. concolor","ABCO_New_1_3","new",2020-08-04,2020,"CZO",177.085171,"predawn",-0.775
"78","ABCO","A. concolor","ABCO_New_1_3","new",2020-08-04,2020,"CZO",177.085171,"midday",-1.805
"79","ABCO","A. concolor","ABCO_New_1_3","new",2020-08-26,2020,"CZO",183.0025152,"predawn",-0.9545
"80","ABCO","A. concolor","ABCO_New_1_3","new",2020-08-26,2020,"CZO",183.0025152,"midday",-1.9645
"81","ABCO","A. concolor","ABCO_New_1_3","new",2020-10-19,2020,"SEKI",166.799407,"predawn",-1.542
"82","ABCO","A. concolor","ABCO_New_1_3","new",2020-10-19,2020,"SEKI",166.799407,"midday",-2.0355
"83","ABCO","A. concolor","ABCO_New_1_4","new",2020-08-04,2020,"CZO",173.710297,"predawn",-1.125
"84","ABCO","A. concolor","ABCO_New_1_4","new",2020-08-04,2020,"CZO",173.710297,"midday",-1.8
"85","ABCO","A. concolor","ABCO_New_1_4","new",2020-08-26,2020,"CZO",172.039528,"predawn",-1.4435
"86","ABCO","A. concolor","ABCO_New_1_4","new",2020-08-26,2020,"CZO",172.039528,"midday",-2.3265
"87","ABCO","A. concolor","ABCO_New_1_4","new",2020-10-19,2020,"SEKI",160.0374515,"predawn",-2.2755
"88","ABCO","A. concolor","ABCO_New_1_4","new",2020-10-19,2020,"SEKI",160.0374515,"midday",-2.265
"89","ABCO","A. concolor","ABCO_New_1_5","new",2020-08-04,2020,"CZO",178.7627112,"predawn",-0.735
"90","ABCO","A. concolor","ABCO_New_1_5","new",2020-08-04,2020,"CZO",178.7627112,"midday",-1.925
"91","ABCO","A. concolor","ABCO_New_1_5","new",2020-08-26,2020,"CZO",171.456421,"predawn",-0.9555
"92","ABCO","A. concolor","ABCO_New_1_5","new",2020-08-26,2020,"CZO",171.456421,"midday",-2.2285
"93","ABCO","A. concolor","ABCO_New_1_5","new",2020-10-19,2020,"SEKI",160.7845977,"predawn",-2.218
"94","ABCO","A. concolor","ABCO_New_1_5","new",2020-10-19,2020,"SEKI",160.7845977,"midday",-2.202
"95","ABCO","A. concolor","ABCO_New_1_6","new",2020-08-04,2020,"CZO",174.6981691,"predawn",-0.745
"96","ABCO","A. concolor","ABCO_New_1_6","new",2020-08-04,2020,"CZO",174.6981691,"midday",-1.445
"97","ABCO","A. concolor","ABCO_New_1_6","new",2020-08-26,2020,"CZO",165.8264518,"predawn",-1.385
"98","ABCO","A. concolor","ABCO_New_1_6","new",2020-08-26,2020,"CZO",165.8264518,"midday",-2.019
"99","ABCO","A. concolor","ABCO_New_1_6","new",2020-10-19,2020,"SEKI",161.4821905,"predawn",-2.1405
"100","ABCO","A. concolor","ABCO_New_1_6","new",2020-10-19,2020,"SEKI",161.4821905,"midday",-2.2345
"101","ABCO","A. concolor","ABCO_New_2_1","new",2020-08-04,2020,"CZO",239.6032968,"predawn",-0.565
"102","ABCO","A. concolor","ABCO_New_2_1","new",2020-08-04,2020,"CZO",239.6032968,"midday",-1.865
"103","ABCO","A. concolor","ABCO_New_2_1","new",2020-08-26,2020,"CZO",195.389157,"predawn",-0.822
"104","ABCO","A. concolor","ABCO_New_2_1","new",2020-08-26,2020,"CZO",195.389157,"midday",-2.195
"105","ABCO","A. concolor","ABCO_New_2_1","new",2020-10-19,2020,"SEKI",159.8613426,"predawn",-1.589
"106","ABCO","A. concolor","ABCO_New_2_1","new",2020-10-19,2020,"SEKI",159.8613426,"midday",-1.998
"107","ABCO","A. concolor","ABCO_New_2_2","new",2020-08-04,2020,"CZO",206.695348,"predawn",-0.62
