"","LDMC","P12..MPa.","P50..MPa.","P88..MPa.","Pmin.midday..Mpa.","Pmin.predawn..Mpa.","Turgor.loss.point"
"Adenostoma fasciculatum",0.0567532640494685,-0.0360011958945513,-0.139049567846848,-0.0701786289288064,-0.255411474873024,NA,NA
"Arbutus menziesii",0.0270914582719516,NA,NA,NA,NA,NA,NA
"Arctostaphylos glandulosa",NA,-0.086934832323713,-0.0719785318637984,-0.0300726490949017,-0.123029934627139,NA,NA
"Ceanothus cuneatus",0.00873709518800001,-0.609209514721958,-0.253226109284494,-0.0695412598029097,-0.0889469000268691,NA,NA
"Ceanothus spinosus",NA,-0.481166653713939,-0.337432548532505,-0.235740274072627,-0.0885008277947568,NA,NA
"Cercocarpus betuloides",0.0437685371487274,NA,-0.125691612928282,NA,NA,NA,NA
"Eriogonum fasciculatum",0.102797569869014,NA,NA,NA,NA,NA,NA
"Heteromeles arbutifolia",0.0469732358865819,0,-0.0947686053827797,-0.0432096814055023,-0.182993082863542,NA,NA
"Malosma laurina",NA,-0.701993404582064,-0.45335776566648,-0.587821671623543,-0.124521157948066,NA,NA
"Pseudotsuga menziesii",0.131974361843123,-0.595124315272033,-0.370055866276788,-0.322993626663586,-0.162807523370462,-0.754453608437922,NA
"Quercus agrifolia",0.0599555416658407,NA,-0.201583735334898,NA,NA,NA,NA
"Quercus berberidifolia",NA,-0.213361162410427,-0.529274285011427,-0.698472075497406,-0.181846423168014,NA,NA
"Quercus douglasii",0.0290264430791256,NA,NA,NA,NA,NA,NA
"Quercus durata",0.0605597426403899,NA,NA,NA,NA,NA,NA
"Salvia leucophylla",NA,0,-2.78277600058124e-05,0,-0.000249112884475159,NA,NA
"Salvia mellifera",NA,-1.18096881543721,-0.393766929554599,-0.391703412189117,-0.327778692514792,NA,NA
"Umbellularia californica",0.089445892585718,NA,-0.271435344147765,NA,NA,NA,NA
