species,mwp,ilfm,study,intercept,slope,min_lfm,max_lfm,min_wp,max_wp,min_ilfm,intercept_lfm,maxlfm_minwp,sp_code,max_rooting_depth_m,plc50_stem,psi_tlp,ldmc,sla,sla_try_units,swc,lma,psimin_pd,psimin_md,functional_type,growth_form,leaf_habit,rwc_at_tlp,reference_if_not_try_p50,reference_if_not_try_trait,swc_g_calc,sla_calc,min_pd,max_pd,psi_z,sla_z
ABICON,-0.935,0.8051342658527759,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.387818189803931,-0.9688771115408973
ABICON,-0.765,0.7310006081501079,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.5116845455353172,-0.9688771115408973
ABICON,-0.97,0.7120341448341149,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.3623162930357045,-0.9688771115408973
ABICON,-1.125,0.802397725525333,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.2493793216335582,-0.9688771115408973
ABICON,-1.7,0.5263437192105866,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.8304195890126936,-0.9688771115408973
ABICON,-1.9385,0.5951545128719351,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.6566423781777784,-0.9688771115408973
ABICON,-2.17,0.5209013209939256,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.4879655466965085,-0.9688771115408973
ABICON,-2.05,0.5239552736206486,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.5754006213304281,-0.9688771115408973
ABICON,-1.86,0.7348935001819663,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.7138394895008007,-0.9688771115408973
ABICON,-2.136666667,0.3751349406335489,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.5122530671852775,-0.9688771115408973
