"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-161.5,0,0.757,0.61
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-160.2,1.3,0.757,0.572
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-160,1.5,0.758,0.6
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-159.9,1.5,0.758,0.603
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + lfmmax x mwp + mwp x sla",-159.7,1.8,0.757,0.572
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla",-159.7,1.8,0.757,0.58
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x psimin +      mwp x sla + mwp x tlp",-159.6,1.8,0.758,0.596
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla",-159.5,2,0.757,0.562
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla + mwp x tlp",-159.1,2.4,0.758,0.591
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla + mwp x tlp",-159,2.5,0.757,0.599
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-158.8,2.7,0.758,0.565
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla",-158.3,3.2,0.757,0.531
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-158.2,3.3,0.757,0.557
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-158.2,3.3,0.758,0.568
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-158.2,3.3,0.758,0.574
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + lfmmax x mwp + mwp x sla + mwp x tlp",-158.2,3.3,0.758,0.561
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-158.1,3.4,0.757,0.538
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-158.1,3.4,0.758,0.554
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-158,3.5,0.758,0.556
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla + mwp x tlp",-157.9,3.6,0.757,0.563
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x sla + mwp x tlp",-157.8,3.7,0.758,0.565
"F.Type + lfmmax + mwp + p50 + sla +      F.Type x mwp + lfmmax x mwp + mwp x sla",-157.8,3.7,0.758,0.5
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x sla + mwp x tlp",-157.7,3.8,0.758,0.551
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla",-157.7,3.8,0.757,0.527
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla",-157.7,3.8,0.757,0.573
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-157.5,4,0.757,0.551
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-157.4,4.1,0.756,0.59
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + mwp x sla + mwp x tlp",-157.3,4.2,0.757,0.56
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla + mwp x tlp",-157.3,4.2,0.758,0.56
