"","Species","N","minWP","intercept","slope","critWP","LFM2.5","i.intercept","i.slope","i.critWP","i.LFM2.5"
"1","ABICON",199,-2.394,1.11019662197937,-0.165623323795026,NA,NA,NA,NA,NA,NA
"2","ADEFAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARBMEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ARCGLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ARCPAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CALDEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CEACOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CEACUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CEAPAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CEASPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CERBET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ERIFAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","HETARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MALLAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","PINJEF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PSEMEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","QUEAGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","QUEBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","QUEDOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","QUEDUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","QUEGAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","QUEKEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","SALLEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","SALMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","UMBCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
