"","Species","N","minWP","intercept","slope","critWP","LFM2.5","i.intercept","i.slope","i.critWP","i.LFM2.5"
"1","ADEFAS",16,-5.43,1.13290603310102,0.115167121011617,-3.75893770112869,0.844988230571975,0.819893136234807,-0.174221728805702,-3.49369907249307,0.796528754293447
"2","ARBMEN",12,-5.55,1.90620870137266,0.190207274432238,-6.34154873925379,1.43069051529206,0.460809174486271,-0.108822549172874,-8.89303054781218,1.36450676870066
"3","CEACUN",6,-7,1.56650032803116,0.148355430091948,-5.84070517334028,1.19561175280129,0.372606105332382,-0.197107360821584,-5.35731044663966,1.15556905301066
"4","CEAPAR",9,-4.3,1.90804254074593,0.302750168077259,-3.99022913320943,1.15116712055278,0.272247191597195,-0.277615638762565,-4.165198481355,1.03488998229355
"5","HETARB",12,-3.73,1.82904994067096,0.280503541960805,-4.0250826523564,1.12779108576895,0.442121891280968,-0.203651508146418,-4.84381159888706,1.05124762622355
"6","PSEMEN",12,-2.75,1.45299941405338,0.109074407168854,-6.90353891071524,1.18031339613125,0.685337246401991,-0.0644480962157805,-11.5322907240114,1.18139424061728
"7","QUEAGR",12,-3.6,1.27841692238497,0.150757136770787,-3.83674653667911,0.901524080458008,0.749214787300894,-0.156461327052047,-4.34200996546927,0.876909829094612
"8","QUEDOU",12,-5.86,1.26279645358222,0.10714043964914,-5.25288542239744,0.994945354459371,0.71200797549468,-0.145604483663932,-4.92130073913548,0.929351459770749
"9","QUEDUR",12,-3.58,1.16532504837967,0.14370362206821,-3.2380885163688,0.806065993209147,0.837094362662686,-0.183645773147175,-3.22074968441952,0.771480646827917
"10","QUEGAR",12,-5.4,1.10516898126596,0.0626528957060052,-6.46688356061285,0.948536742000943,0.860504106836547,-0.0836568659322297,-6.79044469816825,0.934888501449575
"11","QUEKEL",12,-4.75,1.13244476929293,0.0522433201846008,-8.27751313976404,1.00183646883143,0.873594155596725,-0.0556460247923191,-9.97334984926555,0.98745027955021
"12","UMBCAL",12,-2.93,1.87160378429757,0.317691142305618,-3.68787047632095,1.07737592853352,0.518028969785862,-0.163772291592273,-5.55980776682574,1.07821396587898
