species,term,df,sumsq,meansq,statistic,p.value
ADEFAS,mwp,1,4.9042,4.9042,160.7362,0
ADEFAS,sp_site,1,0.0051,0.0051,0.1663,0.6854
ADEFAS,mwp:sp_site,1,1e-4,1e-4,0.0042,0.9483
HETARB,mwp,1,1.0695,1.0695,52.9511,0
HETARB,sp_site,1,0.4348,0.4348,21.526,0
HETARB,mwp:sp_site,1,0.1506,0.1506,7.4552,0.0091
QUEAGR,mwp,1,6.6064,6.6064,88.2193,0
QUEAGR,sp_site,2,1.8849,0.9424,12.5848,0
QUEAGR,mwp:sp_site,2,0.2827,0.1413,1.8872,0.1563
QUEDOU,mwp,1,13.5547,13.5547,290.9605,0
QUEDOU,sp_site,1,0.2852,0.2852,6.1218,0.0143
QUEDOU,mwp:sp_site,1,0.5697,0.5697,12.2291,6e-4
QUEKEL,mwp,1,0.4025,0.4025,21.6382,0
QUEKEL,sp_site,1,0.063,0.063,3.3842,0.0707
QUEKEL,mwp:sp_site,1,0.0968,0.0968,5.202,0.0261
