"species","n","pu","u","k_tail","xi","beta","psi_min_obs","psi_min_evt","psi_min_hybrid","psi_min_method"
"ABICON",83,0.939759036144578,2.26530120481928,5,0.00462055711465625,0.0657933819223804,-2.394,-2.53751495836377,-2.53751495836377,"EVT_POT_GPD"
"ADEFAS",49,0.897959183673469,6.41714285714286,5,-0.470057016033369,0.542241030771165,-7.17,-7.43954658799355,-7.43954658799355,"EVT_POT_GPD"
"ARBMEN",12,0.8,2.79,3,NA,NA,-5.55,NA,-5.55,"Observed_min_lowN"
"ARCGLA",23,0.8,5.048,5,-0.996409831538247,1.7328837337752,-6.48,-6.77826486665876,-6.77826486665876,"EVT_POT_GPD"
"ARCPAT",40,0.875,4.3345625,5,-0.409529005273685,1.2839928282415,-6.411,-7.03581134307988,-7.03581134307988,"EVT_POT_GPD"
"CALDEC",60,0.916666666666667,3.232,6,-2.42025040827436,0.867888541099618,-3.584,-3.59058647417891,-3.59058647417891,"EVT_POT_GPD"
"CEACOR",55,0.909090909090909,3.657,5,-1.2945290090241,0.722088279139883,-4.0845,-4.21317443269988,-4.21317443269988,"EVT_POT_GPD"
"CEACUN",6,0.8,6.1,3,NA,NA,-7,NA,-7,"Observed_min_lowN"
"CEAPAR",9,0.8,4.032,2,NA,NA,-4.3,NA,-4.3,"Observed_min_lowN"
"CEASPI",32,0.84375,5.1546875,5,-1.13104866236718,1.03848665127981,-6.07,-6.06981904746248,-6.06981904746248,"EVT_POT_GPD"
"CERBET",29,0.827586206896552,5.46206896551724,5,-0.416418222422686,0.858251758772808,-6.62,-7.28170301633755,-7.28170301633755,"EVT_POT_GPD"
"ERIFAS",29,0.827586206896552,5.79241379310345,5,-1.37442389148776,1.59937918263179,-7.1,-6.95510484807123,-6.95510484807123,"EVT_POT_GPD"
"HETARB",48,0.895833333333333,4.14729166666667,5,-1.2774549700025,0.921705005151426,-4.76,-4.86689981204341,-4.86689981204341,"EVT_POT_GPD"
"MALLAU",30,0.833333333333333,2.08166666666667,5,0.0287104126271378,0.375241543921716,-3.03,-4.14955233618938,-4.14955233618938,"EVT_POT_GPD"
"PINJEF",61,0.918032786885246,2.91823770491803,5,-0.0696210902313354,0.16250642163198,-3.343,-3.53487994738436,-3.53487994738436,"EVT_POT_GPD"
"PSEMEN",12,0.8,2.38,3,NA,NA,-2.75,NA,-2.75,"Observed_min_lowN"
"QUEAGR",109,0.95,4.343,6,-0.663594253333023,0.69797021117617,-5.033,-5.31636810203208,-5.31636810203208,"EVT_POT_GPD"
"QUEBER",32,0.84375,4.9709375,5,-0.313949452944724,0.624208111989553,-5.86,-6.5520627591425,-6.5520627591425,"EVT_POT_GPD"
"QUEDOU",186,0.95,4.8793125,10,0.190915397527741,0.25450767526518,-5.86,-6.35954322137941,-6.35954322137941,"EVT_POT_GPD"
"QUEDUR",12,0.8,3.184,3,NA,NA,-3.58,NA,-3.58,"Observed_min_lowN"
"QUEGAR",12,0.8,4.646,3,NA,NA,-5.4,NA,-5.4,"Observed_min_lowN"
"QUEKEL",65,0.923076923076923,4.40053846153846,5,-0.0517144463181527,0.177173433648981,-4.75,-5.08968752855704,-5.08968752855704,"EVT_POT_GPD"
"SALLEU",30,0.833333333333333,5.755,5,-0.0279879401558674,0.732955401331133,-7.38,-9.24870460740846,-9.24870460740846,"EVT_POT_GPD"
"SALMEL",28,0.821428571428571,6.46,5,-1.5183349851338,1.788017839445,-7.58,-7.63716874875435,-7.63716874875435,"EVT_POT_GPD"
"UMBCAL",12,0.8,2.624,3,NA,NA,-2.93,NA,-2.93,"Observed_min_lowN"
